DATE,TTAATASHCBSHNNCB_POP
1953-01-01,4.54375
1953-04-01,5.55341
1953-07-01,6.00268
1953-10-01,5.09817
1954-01-01,4.27772
1954-04-01,3.21294
1954-07-01,2.38344
1954-10-01,2.48295
1955-01-01,2.87615
1955-04-01,3.77663
1955-07-01,4.98997
1955-10-01,6.59237
1956-01-01,7.69762
1956-04-01,8.47770
1956-07-01,8.36046
1956-10-01,7.74177
1957-01-01,7.24466
1957-04-01,6.66973
1957-07-01,6.31136
1957-10-01,5.38741
1958-01-01,4.53448
1958-04-01,3.31543
1958-07-01,2.50939
1958-10-01,2.83068
1959-01-01,3.28688
1959-04-01,4.55102
1959-07-01,4.88190
1959-10-01,5.01439
1960-01-01,5.50952
1960-04-01,5.19411
1960-07-01,5.25091
1960-10-01,4.39238
1961-01-01,3.55800
1961-04-01,3.14144
1961-07-01,3.08709
1961-10-01,3.85883
1962-01-01,4.13300
1962-04-01,4.57881
1962-07-01,4.82130
1962-10-01,4.51525
1963-01-01,4.23007
1963-04-01,4.30642
1963-07-01,4.28622
1963-10-01,4.59477
1964-01-01,4.59515
1964-04-01,4.55182
1964-07-01,4.57767
1964-10-01,5.00530
1965-01-01,5.71168
1965-04-01,6.43818
1965-07-01,7.30289
1965-10-01,7.76091
1966-01-01,7.99314
1966-04-01,8.44061
1966-07-01,8.64663
1966-10-01,8.80701
1967-01-01,8.68626
1967-04-01,7.94694
1967-07-01,7.23200
1967-10-01,6.73038
1968-01-01,6.54205
1968-04-01,6.78351
1968-07-01,7.01025
1968-10-01,7.02489
1969-01-01,7.40877
1969-04-01,7.84423
1969-07-01,8.19017
1969-10-01,8.48435
1970-01-01,7.88444
1970-04-01,7.01290
1970-07-01,6.04289
1970-10-01,5.20268
1971-01-01,4.87885
1971-04-01,4.60670
1971-07-01,4.68338
1971-10-01,4.71466
1972-01-01,5.37519
1972-04-01,6.22731
1972-07-01,6.99539
1972-10-01,7.73786
1973-01-01,8.21566
1973-04-01,8.76124
1973-07-01,9.22627
1973-10-01,9.86697
1974-01-01,10.30422
1974-04-01,10.61418
1974-07-01,11.05918
1974-10-01,11.16640
1975-01-01,10.12912
1975-04-01,7.72573
1975-07-01,5.55573
1975-10-01,4.38501
1976-01-01,4.24181
1976-04-01,5.59506
1976-07-01,6.92308
1976-10-01,7.67287
1977-01-01,8.01388
1977-04-01,8.56487
1977-07-01,8.75012
1977-10-01,9.05738
1978-01-01,9.69585
1978-04-01,9.88568
1978-07-01,10.24165
1978-10-01,10.96316
1979-01-01,11.55254
1979-04-01,11.92761
1979-07-01,12.16654
1979-10-01,11.66521
1980-01-01,11.94704
1980-04-01,11.39559
1980-07-01,10.14104
1980-10-01,9.30075
1981-01-01,9.80426
1981-04-01,9.82453
1981-07-01,10.67600
1981-10-01,11.19359
1982-01-01,9.70503
1982-04-01,8.69984
1982-07-01,7.54362
1982-10-01,6.14390
1983-01-01,5.04896
1983-04-01,4.97876
1983-07-01,5.27902
1983-10-01,6.29350
1984-01-01,7.32916
1984-04-01,8.28094
1984-07-01,8.92441
1984-10-01,8.86076
1985-01-01,9.04978
1985-04-01,8.68188
1985-07-01,7.83559
1985-10-01,7.50088
1986-01-01,6.29509
1986-04-01,5.52730
1986-07-01,4.98181
1986-10-01,4.23920
1987-01-01,4.36070
1987-04-01,4.39937
1987-07-01,4.83869
1987-10-01,5.38539
1988-01-01,5.69604
1988-04-01,5.71992
1988-07-01,5.45497
1988-10-01,5.24506
1989-01-01,5.50490
1989-04-01,5.38801
1989-07-01,5.21650
1989-10-01,4.52377
1990-01-01,6.17912
1990-04-01,5.83531
1990-07-01,6.15309
1990-10-01,6.15569
1991-01-01,3.85883
1991-04-01,3.36238
1991-07-01,2.74841
1991-10-01,2.44217
1992-01-01,2.08011
1992-04-01,2.52753
1992-07-01,2.85354
1992-10-01,3.13279
1993-01-01,3.26079
1993-04-01,3.50050
1993-07-01,3.52518
1993-10-01,3.75713
1994-01-01,3.74455
1994-04-01,3.78060
1994-07-01,3.99076
1994-10-01,4.41240
1995-01-01,4.84877
1995-04-01,5.12123
1995-07-01,5.07125
1995-10-01,4.68780
1996-01-01,4.65670
1996-04-01,3.96386
1996-07-01,4.18029
1996-10-01,4.78114
1997-01-01,4.67887
1997-04-01,5.00459
1997-07-01,5.10863
1997-10-01,4.90444
1998-01-01,5.22788
1998-04-01,5.48784
1998-07-01,5.53177
1998-10-01,4.93760
1999-01-01,4.76664
1999-04-01,4.99784
1999-07-01,4.64976
1999-10-01,5.24421
2000-01-01,5.44827
2000-04-01,5.37554
2000-07-01,6.09561
2000-10-01,5.90270
2001-01-01,5.64469
2001-04-01,4.96007
2001-07-01,3.79852
2001-10-01,2.69688
2002-01-01,1.68071
2002-04-01,1.37695
2002-07-01,1.41764
2002-10-01,1.88928
2003-01-01,1.92061
2003-04-01,2.26620
2003-07-01,2.01695
2003-10-01,1.98606
2004-01-01,2.49740
2004-04-01,2.64241
2004-07-01,3.05942
2004-10-01,3.38743
2005-01-01,3.76992
2005-04-01,3.99107
2005-07-01,4.26114
2005-10-01,4.52561
2006-01-01,4.50831
2006-04-01,5.01771
2006-07-01,5.21005
2006-10-01,4.92758
2007-01-01,4.78708
2007-04-01,4.54079
2007-07-01,4.42110
2007-10-01,4.63890
2008-01-01,4.94946
2008-04-01,5.04524
2008-07-01,4.75020
2008-10-01,3.32435
2009-01-01,1.81046
2009-04-01,0.01979
2009-07-01,-0.86326
2009-10-01,-0.12406
2010-01-01,0.04967
2010-04-01,1.95168
2010-07-01,2.41839
2010-10-01,2.72800
2011-01-01,3.77914
2011-04-01,3.15179
2011-07-01,3.51264
2011-10-01,3.84674
2012-01-01,3.95034
2012-04-01,3.98981
2012-07-01,4.28027
2012-10-01,4.15764
2013-01-01,3.93103
2013-04-01,3.75529
2013-07-01,3.72866
2013-10-01,3.78005
2014-01-01,4.09220
2014-04-01,4.38562
2014-07-01,4.39328
2014-10-01,4.41796
2015-01-01,4.18027
2015-04-01,4.01590
2015-07-01,3.68832
2015-10-01,3.58876
2016-01-01,3.34503
2016-04-01,3.11664
2016-07-01,2.86205
2016-10-01,2.62716
2017-01-01,2.66596
2017-04-01,2.68838
2017-07-01,3.12403
2017-10-01,3.07820
2018-01-01,3.18058
2018-04-01,3.50266
2018-07-01,3.73579
2018-10-01,3.97249
2019-01-01,4.09433
2019-04-01,3.98988
2019-07-01,.
2019-10-01,.
